"verwervingswijzen","titel"
"APP","Archeologisch vooronderzoek: proefsleuvenonderzoek"
"ABU","Een archeologisch bureauonderzoek (BO)"
"ABU; AXX","Archeologisch bureauonderzoek & Inventariserend Veldonderzoek verkennende en karterende fase"
"AOP","Archeologisch onderzoek: een opgraving"
"ABO","Inventariserend Veldonderzoek (IVO-B)"
"ABU; ABO","Archeologisch Bureauonderzoek & Inventariserend Veldonderzoek (IVO) d.m.v. boringen"
"ABU; ABO","Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek door middel van verkennende boringen."
"ABU; ABO; AXX","Een Bureauonderzoek en Inventariserend Veldonderzoek door middel van boringen en een veldverkenning"
"ABU; ABO","Bureau- en Inventariserend Veldonderzoek Verkennend booronderzoek"
"ABU; AXX","Archeologisch bureauonderzoek en Inventariserend Veldonderzoek (IVO; karterende fase)"
"ABU; AXX","Bureauonderzoek en Karterend Inventariserend Veldonderzoek"
"ABU; ABO","een bureauonderzoek en een verkennend en karterend inventariserend veldonderzoek door middel van grondboringen"
"AXX","een archeologische inventarisatie en kartering"
"AXX","Een archeologische kartering en waardering"
"AOP","Opgraving"
"ABU; ABO","Bureauonderzoek archeologische waarde en Inventariserend veldonderzoek-boringen"
"ABU; ABO","Bureauonderzoek archeologische waarden en inventariserend veldonderzoek-boringen"
"ABU; AXX","archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (verkennende fase)"
"AXX","inventariserend archeologisch veldonderzoek"
"AXX","Inventariserend Veldonderzoek (IVO; verkennende fase)"
"APP","archeologisch proefsleuvenonderzoek"
"ABU","Bureauonderzoek (BO)"
"ABU; ABO","Bureauonderzoek en verkennend veldonderzoek d.m.v. boringen"
"ABU; ABO","Een bureauonderzoek en een verkennend booronderzoek (IVO-O)"
"ABU; AXX","Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek (IVO) verkennende fase"
"ABU; AXX","Een Bureauonderzoek en Inventariserend Veldonderzoek in de vorm van een"
"AXX","Archeologische inventarisatie"
"AXX","waarderend archeologisch onderzoek"
"ABO","Een verkennend en karterend booronderzoek"
"ABU","Archeologisch bureauonderzoek."
"ABU; ABO","Archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (verkennend booronderzoek)"
"ABU; ABO","een bureaustudie en een verkennend inventariserend veldonderzoek door middel van grondboringen"
"ABU; ABO","Archeologisch bureauonderzoek en karterend booronderzoek"
"ABU; AXX","Archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (karterende fase)"
"AXX","archeologisch vooronderzoek (verkennende fase)"
"AXX","Inventariserend veldonderzoek (IVO)"
"AOP","Archeologische Opgraving"
"ABE","Archeologische Begeleiding protocol Opgraven."
