datasetid,doi
easy-dataset:116719,10.17026/dans-zbh-sxrz
easy-dataset:112830,10.17026/dans-2a5-8hc4
easy-dataset:114316,10.17026/dans-xjg-4s7b
easy-dataset:114992,10.17026/dans-xad-z6r6
easy-dataset:74464,10.17026/dans-x8u-x6nd
easy-dataset:73886,10.17026/dans-2zs-7aaq
easy-dataset:36817,10.17026/dans-zz6-gbmy
easy-dataset:45837,10.17026/dans-23f-ffd9
easy-dataset:30487,10.17026/dans-x3f-nser
easy-dataset:36813,10.17026/dans-z78-etm6
easy-dataset:63492,10.17026/dans-x2k-jduz
easy-dataset:65482,10.17026/dans-2ax-cvde
easy-dataset:9808,10.17026/dans-x5m-k77u
easy-dataset:9796,10.17026/dans-zxz-4rzc
easy-dataset:51355,10.17026/dans-zca-exfq
easy-dataset:31178,10.17026/dans-2c8-tz88
easy-dataset:41116,10.17026/dans-xc2-pykn
easy-dataset:38198,10.17026/dans-xgv-yjys
easy-dataset:45121,10.17026/dans-25u-hxhd
easy-dataset:115767,10.17026/dans-xmq-uqn8
easy-dataset:153465,10.17026/dans-xt6-atvx
easy-dataset:76458,10.17026/dans-zsx-yzrt
easy-dataset:159447,10.17026/dans-xt5-bf6w
easy-dataset:58081,10.17026/dans-2xu-np69
easy-dataset:34094,10.17026/dans-x5y-pafs
easy-dataset:56932,10.17026/dans-zmj-3v3e
easy-dataset:56934,10.17026/dans-zwc-8xeh
easy-dataset:62376,10.17026/dans-xrx-gpk3
easy-dataset:64825,10.17026/dans-x2n-d3q9
easy-dataset:46315,10.17026/dans-zxt-hv97
easy-dataset:45740,10.17026/dans-zgc-stmm
easy-dataset:121466,10.17026/dans-x98-24fp
easy-dataset:48521,10.17026/dans-zq5-4j35
easy-dataset:31179,10.17026/dans-x3w-j7ra
easy-dataset:66365,10.17026/dans-xxu-6utq
easy-dataset:64624,10.17026/dans-zmp-jj2x
easy-dataset:65659,10.17026/dans-xrb-zere
easy-dataset:103898,10.17026/dans-z9u-vv3g
easy-dataset:127510,10.17026/dans-x6c-tr9e
