8ca6df34-ea99-4ff2-8339-a13a720f344b,"Buro de Brug rapporten","buro[^a-záàäâçčćèeêëïíóôöüûuú0-9]+de[^a-záàäâçčćèeêëïíóôöüûuú0-9]+brug[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapporten"
91994664-bc5f-4136-b1c5-3b8ff07bf1ed,"CAR Rapport","car[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
09a728bd-70b6-4a54-b85e-efafe9e75961,"Cultuurhistorie Noord-Holland","cultuurhistorie[^a-záàäâçčćèeêëïíóôöüûuú0-9]+noord[^a-záàäâçčćèeêëïíóôöüûuú0-9]+holland"
688dcf8b-4fa1-435f-87c7-c4da7b3c806e,"D7 archeologie rapport","d7[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologie[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
9a23c88d-7233-4fd9-95da-f77924f2d769,"De Steekproef-briefrapport","de[^a-záàäâçčćèeêëïíóôöüûuú0-9]+steekproef[^a-záàäâçčćèeêëïíóôöüûuú0-9]+briefrapport"
7d428eb3-bf02-42c3-8a06-342c7c86d2b8,"De Steekproef-rapport","de[^a-záàäâçčćèeêëïíóôöüûuú0-9]+steekproef[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
9a2e862d-0186-46c3-9234-433255db3c2a,"Delftse Archeologische Notities","delftse[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologische[^a-záàäâçčćèeêëïíóôöüûuú0-9]+notities"
e4ee0bba-5f2a-4305-b408-6a0ff180946c,"Delftse Archeologische Rapporten","delftse[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologische[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapporten"
3fca3cc1-0ff4-4367-9806-58c3c7218a39,"Den Haag, Rapport Afdeling Archeologie Dienst Stadsbeheer","den[^a-záàäâçčćèeêëïíóôöüûuú0-9]+haag[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport[^a-záàäâçčćèeêëïíóôöüûuú0-9]+afdeling[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologie[^a-záàäâçčćèeêëïíóôöüûuú0-9]+dienst[^a-záàäâçčćèeêëïíóôöüûuú0-9]+stadsbeheer"
b11355ae-b20d-44bb-adb9-fe814e09ba2e,"Deventer, Rapportage Archeologie","deventer[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapportage[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologie"
ae4888e5-e365-4e6e-8474-c91920bb73fe,"Diachron notitie","diachron[^a-záàäâçčćèeêëïíóôöüûuú0-9]+notitie"
54d7fdb2-095b-40db-a449-a27c332078c8,"Diachron publicatie","diachron[^a-záàäâçčćèeêëïíóôöüûuú0-9]+publicatie"
8e90f194-7b0f-43d4-992e-d0feb8f29c23,"Doesburgse Archeologische Publicaties","doesburgse[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologische[^a-záàäâçčćèeêëïíóôöüûuú0-9]+publicaties"
297fc0b9-8438-46b0-83e0-3dd82ee08c74,"Dordrecht, Rapport Bureau Monumentenzorg en Archeologie","dordrecht[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport[^a-záàäâçčćèeêëïíóôöüûuú0-9]+bureau[^a-záàäâçčćèeêëïíóôöüûuú0-9]+monumentenzorg[^a-záàäâçčćèeêëïíóôöüûuú0-9]+en[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologie"
60c6b309-61e8-41fc-b570-442b4404ea98,"EARTH Integrated Archaeology-rapport","earth[^a-záàäâçčćèeêëïíóôöüûuú0-9]+integrated[^a-záàäâçčćèeêëïíóôöüûuú0-9]+archaeology[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
18e90730-4ab6-495b-aee7-02dac4118aac,"Econsultancy-rapport","econsultancy[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
